0x8a4e	0x796f3	0x794CC	0x95a8
0x8a96	0x797a4	0x7957D	0x9552
0x8af6	0x79851	0x7962A	0x948c
0x8e3e	0x79fc5	0x79D9C	0x9dc7
0x9156	0x7a69c	0x7A471	0xa4da
0x93ea	0x7abd5	0x7A98D	0xa923
0x947a	0x7ad2e	0x7AB07	0xaa82
0x94ce	0x7adb6	0x7AB8F	0xab07
0x96ae	0x7b106	0x7AEDF	0xacb3
0x9762	0x7b1f9	0x7AFCE	0xb139
0x99de	0x7b783	0x7B55A	0xb510
0x9a26	0x7b7fe	0x7B5D5	0xb585
0xa228	0x7cd44	0x7CAF6	0xca52
0xa294	0x7ceb5	0x7CC6F	0xcaf6
0xa330	0x7d141	0x7CEFB	0xcfc9
0xa3f0	0x7d242	0x7D017	0xd0b9
0xa3fc	0x7d244	0x7D017	0xd0b9
0xa42c	0x7d2e0	0x7D0B9	0xd104
0xa4bc	0x7d3cc	0x7D1A3	0xd1dd
0xa6d8	0x7d774	0x7D54D	0xd5a7
0xa6f0	0x7d7a1	0x7D57A	0xd5a7
0xa72c	0x7d7d4	0x7D5A7	0xd617
