0x8aba	0x797d1	0x795A8	0x94cc
0x8a8a	0x7977b	0x79552	0x957d
0x8a42	0x796b7	0x7948C	0x962a
0x8e56	0x7a00f	0x79DC7	0x9d9c
0x916e	0x7a701	0x7A4DA	0xa471
0x93d2	0x7ab52	0x7A923	0xa98d
0x944a	0x7acad	0x7AA82	0xab07
0x949e	0x7ad34	0x7AB07	0xab8f
0x9576	0x7aee0	0x7ACB3	0xaedf
0x97fe	0x7b362	0x7B139	0xafce
0x99c6	0x7b73b	0x7B510	0xb55a
0x99ea	0x7b7ac	0x7B585	0xb5d5
0xa1c8	0x7cc98	0x7CA52	0xcaf6
0xa21c	0x7cd42	0x7CAF6	0xcc6f
0xa39c	0x7d1f0	0x7CFC9	0xcefb
0xa444	0x7d2e4	0x7D0B9	0xd017
0xa450	0x7d2e6	0x7D0B9	0xd017
0xa474	0x7d32b	0x7D104	0xd0b9
0xa4e0	0x7d406	0x7D1DD	0xd1a3
0xa714	0x7d7d0	0x7D5A7	0xd54d
0xa720	0x7d7d2	0x7D5A7	0xd57a
0xa768	0x7d83e	0x7D617	0xd5a7
